2017-02-13 14:37:11|GET|/|200||GET / HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|353
2017-02-13 14:37:14|POST|/api/public/user/login|302||POST /api/public/user/login HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|437
2017-02-13 14:37:15|GET|/|302||GET / HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|598
2017-02-13 14:37:16|GET|/admin/user/list|200||GET /admin/user/list HTTP/1.1|http://localhost:8888/|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1788
2017-02-13 14:37:17|GET|/admin/user/last-login-pop|200||GET /admin/user/last-login-pop HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|303
2017-02-13 14:37:56|GET|/img/adminHome/logout2.png|304||GET /img/adminHome/logout2.png HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|60
2017-02-13 14:37:56|GET|/img/adminHome/menu2.png|304||GET /img/adminHome/menu2.png HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|35
2017-02-13 14:37:59|GET|/jaha/apt/membership/list|200||GET /jaha/apt/membership/list HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|571
2017-02-13 14:37:59|GET|/js/jquery.blockUI.js|304||GET /js/jquery.blockUI.js HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|34
2017-02-13 14:37:59|GET|/css/bootstrap-datetimepicker.css|304||GET /css/bootstrap-datetimepicker.css HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|38
2017-02-13 14:37:59|GET|/js/bootstrap-datetimepicker.js|304||GET /js/bootstrap-datetimepicker.js HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|35
2017-02-13 14:37:59|GET|/js/moment-with-locales.js|304||GET /js/moment-with-locales.js HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|37
2017-02-13 14:37:59|GET|/js/common.js|304||GET /js/common.js HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|51
2017-02-13 14:37:59|GET|/sbgrid/js/XRegExp.js|304||GET /sbgrid/js/XRegExp.js HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|54
2017-02-13 14:37:59|GET|/fonts/glyphicons-halflings-regular.woff2|304||GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1|http://localhost:8888/css/bootstrap.min.css|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|38
2017-02-13 14:37:59|GET|/api/public/address/sido-names|200||GET /api/public/address/sido-names HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|148
2017-02-13 14:38:11|GET|/img/loading.gif|304||GET /img/loading.gif HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|50
2017-02-13 14:38:13|GET|/jaha/apt/membership/list-data|200|?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=10&pageNum=1|GET /jaha/apt/membership/list-data?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=10&pageNum=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1365
2017-02-13 14:39:00|GET|/jaha/apt/membership/list-data|200|?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=20&pageNum=1|GET /jaha/apt/membership/list-data?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=20&pageNum=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1462
2017-02-13 14:47:35|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|481
2017-02-13 14:51:06|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|535
2017-02-13 14:52:23|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|506
2017-02-13 14:53:41|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|551
2017-02-13 14:57:22|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|565
2017-02-13 14:59:09|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Emaul&user_type=newUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Emaul&user_type=newUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|460
2017-02-13 14:59:23|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Edoor&user_type=newUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|305
2017-02-13 14:59:57|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02&monitoringType=Edoor&user_type=deactiveUser|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02&monitoringType=Edoor&user_type=deactiveUser HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|603
2017-02-13 15:05:32|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02 HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|521
2017-02-13 15:05:44|GET|/|302||GET / HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|755
2017-02-13 15:05:44|GET|/|302||GET / HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|624
2017-02-13 15:05:46|GET|/admin/user/list|200||GET /admin/user/list HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1730
2017-02-13 15:05:46|GET|/admin/user/last-login-pop|200||GET /admin/user/last-login-pop HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|285
2017-02-13 15:05:49|GET|/jaha/apt/membership/list|200||GET /jaha/apt/membership/list HTTP/1.1|http://localhost:8888/admin/user/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|596
2017-02-13 15:05:49|GET|/api/public/address/sido-names|200||GET /api/public/address/sido-names HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|144
2017-02-13 15:05:51|GET|/jaha/apt/membership/list-data|200|?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=10&pageNum=1|GET /jaha/apt/membership/list-data?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=10&pageNum=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|1286
2017-02-13 15:06:10|GET|/jaha/apt/ap/user/edoorMember/list-data|200|?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=10&pageNum=1|GET /jaha/apt/ap/user/edoorMember/list-data?sidoNm=&sggNm=&aptNm=&sDate=2017-02-07&eDate=2017-02-13&pageSize=10&pageNum=1 HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|2168
2017-02-13 15:07:02|GET|/jaha/apt/user/list/popup-data|200|?reg_date=2017-02-02|GET /jaha/apt/user/list/popup-data?reg_date=2017-02-02 HTTP/1.1|-|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|254
2017-02-13 15:09:00|GET|/img/adminHome/logout2.png|200||GET /img/adminHome/logout2.png HTTP/1.1|http://localhost:8888/jaha/apt/membership/list|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36|144
